product_id,avg_score,reviews_count,bad_review_rate
6f3b5b605d91b7439c5e3f5a8dffeea7,4.12,115,13.91
777d2e438a1b645f3aec9bd57e92672c,4.12,93,10.75
2b4609f8948be18874494203496bc318,4.12,263,13.69
7a10781637204d8d10485c71a6108a2e,4.11,140,13.57
5d66715cc928aadd0074f61332698593,4.11,63,12.7
08574b074924071f4e201e151b152b4e,4.1,109,12.84
d3c044bd42d84a79e3b0c42662806a48,4.1,71,16.9
c7fd13b5e515bffdab855d0812842edb,4.1,52,13.46
22c5ddc22ea8cae84fc9917def682dc6,4.09,53,15.09
bee2e070c39f3dd2f6883a17a5f0da45,4.09,78,15.38
703d742887bb9267f89b675608ba7aa0,4.08,50,12.0
0bcc3eeca39e1064258aa1e932269894,4.08,116,14.66
e9a69340883a438c3f91739d14d3a56d,4.07,56,14.29
ec2d43cc59763ec91694573b31f1c29a,4.07,130,13.85
ee0c1cf2fbeae95205b4aa506f1469f0,4.07,89,20.22
d017a2151d543a9885604dc62a3d9dcc,4.06,139,15.11
06edb72f1e0c64b14c5b79353f7abea3,4.06,143,13.99
aca2eb7d00ea1a7b8ebd4e68314663af,4.05,517,13.35
7ce94ab189134e2d3c05f496d635419c,4.05,105,15.24
0a57f7d2c983bcf8188589a5fea4a8da,4.05,85,17.65
c6336fa91fbd87c359e44f5dca5a90ed,4.03,90,18.89
461f43be3bdf8844e65b62d9ac2c7a5a,4.03,141,17.02
0d85c435fd60b277ffb9e9b0f88f927a,4.01,72,15.28
d2f5484cbffe4ca766301b21ab9246dd,4.0,52,21.15
42a2c92a0979a949ca4ea89ec5c7b934,3.99,174,16.67
cec09725da5ed01471d9a505e7389d37,3.99,71,12.68
2948658cb6abc82847412be7201bfc4c,3.99,67,11.94
7814c273ab16783d73a9863ebfa8b141,3.98,63,17.46
fbce4c4cb307679d89a3bf3d3bb353b9,3.98,60,18.33
ea44caac707f7f1325182a538007f838,3.98,60,16.67
89321f94e35fc6d7903d36f74e351d40,3.98,117,14.53
88dd63919fc9ab693803578a04a20209,3.96,50,16.0
d5991653e037ccb7af6ed7d94246b249,3.95,104,16.35
c3ba4e8d3cb30049213b682e751e9d00,3.95,58,13.79
422879e10f46682990de24d770e7f83d,3.95,486,19.55
30ac6df06dc59ad72cf2f158fc2d904c,3.94,54,14.81
7c1bd920dbdf22470b68bde975dd3ccf,3.94,227,17.62
64fb265487de2238627ce43fe8a67efc,3.93,73,12.33
165f86fe8b799a708a20ee4ba125c289,3.93,102,17.65
3fbc0ef745950c7932d5f2a446189725,3.93,144,19.44
bd6e6fce9ada76ea2db0f1912e8e478f,3.93,68,17.65
368c6c730842d78016ad823897a372db,3.92,388,19.33
99a4788cb24856965c36a24e339b6058,3.92,472,15.89
dbb67791e405873b259e4656bf971246,3.92,87,22.99
a92930c327948861c015c919a0bcb4a8,3.91,152,13.82
aba86c093ccdbac75b09111d57e50004,3.91,57,10.53
0152f69b6cf919bcdaf117aa8c43e5a2,3.9,62,14.52
6c3effec7c8ddba466d4f03f982c7aa3,3.89,95,14.74
a19b6951c75da43aad691622dd2f6abe,3.89,63,14.29
19421075ae0b585f2dc13ff149e2119d,3.88,59,22.03
bbaef2eadf31fe3ea6702077398be06c,3.88,64,18.75
93c902b021a9e594f658ab1b0351602a,3.87,71,21.13
53759a2ecddad2bb87a079a1f1519f73,3.87,373,20.64
a62e25e09e05e6faf31d90c6ec1aa3d1,3.87,224,18.3
35afc973633aaeb6b877ff57b2793310,3.84,164,17.68
4c2394abfbac7ff59ec7a420918562fa,3.84,118,18.64
9ecadb84c81da840dbf3564378b586e9,3.82,103,20.39
2fea0f2cec6b6324a277d4a61c2ed2c6,3.79,58,20.69
e0d64dcfaa3b6db5c54ca298ae101d05,3.79,192,21.88
c857b96593773e940454e76efa8eabb3,3.79,52,21.15
3f14d740544f37ece8a9e7bc8349797e,3.78,91,23.08
4fe644d766c7566dbc46fb851363cb3b,3.78,104,20.19
7e0dc102074f8285580c9777f79c90cf,3.77,70,20.0
b623b7cb05ee3248fbe4a6ecbeed79a4,3.77,65,24.62
d285360f29ac7fd97640bf0baef03de0,3.76,118,21.19
e59dd207c69d86e890febadc796d1078,3.73,62,22.58
eb8c629f70275fd1c4f809116cce1efc,3.69,95,21.05
dab2413ead0edda9967edbc9bda2a64e,3.64,67,20.9
4298b7e67dc399c200662b569563a2b2,3.62,90,24.44
43423cdffde7fda63d0414ed38c11a73,3.62,92,22.83
e7cc48a9daff5436f63d3aad9426f28b,3.6,89,22.47
b532349fe46b38fbc7bb3914c1bdae07,3.59,164,29.27
928e52a9ad53a294fdcc91bcf59d1751,3.56,57,29.82
e53e557d5a159f5aa2c5e995dfdf244b,3.51,182,30.22
386486367c1f9d4f587a8864ccb6902b,3.5,56,30.36
8ed094bfe076c568f6bb10feada3f75d,3.44,70,25.71
a9516a079e37a9c9c36b9b78b10169e8,3.42,59,23.73
2a5806f10d0f00e5ad032dd2e3c8806e,3.35,52,28.85
84f456958365164420cfc80fbe4c7fab,3.34,105,27.62
36f60d45225e60c7da4558b070ce4b60,3.29,135,35.56
2ffdf10e724b958c0f7ea69e97d32f64,3.25,51,31.37
3eef0cb94ba82de806bb30ab743c7655,3.22,58,37.93
b114bf337c0626166abe574eee9e3f32,3.22,54,33.33
362b773250263786dd58670d2df42c3b,2.92,73,46.58
b5e13c9a353102f79c6206ff5cb61a50,2.91,90,44.44
89b121bee266dcd25688a1ba72eefb61,2.49,63,57.14
