product_category_name,revenue,items_sold
beleza_saude,1412089.530000008,9465
relogios_presentes,1264333.120000007,5859
cama_mesa_banho,1225209.2600000016,10953
esporte_lazer,1118256.9100000092,8431
informatica_acessorios,1032723.7700000013,7644
moveis_decoracao,880329.920000003,8160
utilidades_domesticas,758392.2500000026,6795
cool_stuff,691680.8900000028,3718
automotivo,669454.7499999988,4140
ferramentas_jardim,567145.6799999998,4268
